,open,high,low,close,volume
2023-08-09,0.32,0.32,0.25,0.25,25311.0
2023-08-10,0.25,0.25,0.25,0.25,0.0
2023-08-11,0.25,0.25,0.25,0.25,0.0
2023-08-14,0.25,0.25,0.25,0.25,0.0
2023-08-15,0.26,0.26,0.26,0.26,101610.0
2023-08-16,0.26,0.26,0.26,0.26,0.0
2023-08-17,0.2782,0.2782,0.2782,0.2782,101.0
2023-08-18,0.2782,0.2782,0.2782,0.2782,0.0
2023-08-21,0.2782,0.2782,0.2782,0.2782,0.0
2023-08-22,0.29,0.29,0.29,0.29,100.0
2023-08-23,0.29,0.29,0.29,0.29,0.0
2023-08-24,0.2697,0.29,0.23,0.29,2945.0
2023-08-25,0.29,0.29,0.29,0.29,1.0
2023-08-28,0.29,0.32,0.29,0.3056,3800.0
2023-08-29,0.3056,0.3056,0.3056,0.3056,0.0
2023-08-30,0.3356,0.3778,0.3356,0.3778,4296.0
2023-08-31,0.3778,0.3778,0.3778,0.3778,200.0
2023-09-01,0.3778,0.3778,0.3778,0.3778,0.0
2023-09-05,0.39,0.39,0.32,0.3629,33020.0
2023-09-06,0.3629,0.3629,0.3629,0.3629,0.0
2023-09-07,0.3375,0.3897,0.32,0.32,40689.0
2023-09-08,0.32,0.32,0.32,0.32,0.0
2023-09-11,0.32,0.3584,0.2977,0.32,13410.0
2023-09-12,0.3584,0.3894,0.3247,0.3438,16419.0
2023-09-13,0.3849,0.3893,0.3315,0.3315,10784.0
2023-09-14,0.3315,0.3315,0.3315,0.3315,0.0
2023-09-15,0.3315,0.3315,0.3315,0.3315,0.0
2023-09-18,0.29,0.32,0.29,0.32,250.0
2023-09-19,0.32,0.32,0.32,0.32,0.0
2023-09-20,0.2901,0.32,0.2199,0.2899,101067.0
2023-09-21,0.29,0.29,0.29,0.29,15500.0
2023-09-22,0.29,0.29,0.29,0.29,500.0
2023-09-25,0.39,0.39,0.26,0.2615,12744.0
2023-09-26,0.27,0.3089,0.23,0.26,49652.0
2023-09-27,0.3589,0.36,0.2499,0.2719,20613.0
2023-09-28,0.29,0.3045,0.25,0.25,5224.0
2023-09-29,0.2597,0.26,0.235,0.235,5897.0
2023-10-02,0.24,0.24,0.24,0.24,2066.0
2023-10-03,0.24,0.2499,0.23,0.23,7468.0
2023-10-04,0.2461,0.2511,0.23,0.23,6344.0
2023-10-05,0.234,0.234,0.23,0.23,2112.0
2023-10-06,0.23,0.23,0.23,0.23,1.0
2023-10-09,0.2461,0.2461,0.2461,0.2461,200.0
2023-10-10,0.25,0.25,0.2499,0.25,20400.0
2023-10-11,0.2325,0.25,0.23,0.25,25044.0
2023-10-12,0.25,0.25,0.2499,0.2499,1000.0
2023-10-13,0.2499,0.2499,0.2499,0.2499,0.0
2023-10-16,0.25,0.25,0.23,0.25,12920.0
2023-10-17,0.25,0.25,0.25,0.25,0.0
2023-10-18,0.25,0.25,0.23,0.23,100600.0
2023-10-19,0.23,0.23,0.23,0.23,31282.0
2023-10-20,0.23,0.23,0.205,0.205,3819.0
2023-10-23,0.205,0.205,0.205,0.205,0.0
2023-10-24,0.2194,0.2194,0.205,0.21,3860.0
2023-10-25,0.21,0.2247,0.2,0.2247,65571.0
2023-10-26,0.2255,0.2255,0.2255,0.2255,454.0
2023-10-27,0.2255,0.2255,0.2255,0.2255,0.0
2023-10-30,0.2255,0.2255,0.2255,0.2255,0.0
2023-10-31,0.202,0.232,0.1684,0.19,518944.0
2023-11-01,0.2,0.25,0.18,0.2098,25728.0
2023-11-02,0.2098,0.2098,0.2098,0.2098,0.0
2023-11-03,0.2098,0.2098,0.2098,0.2098,0.0
2023-11-06,0.1951,0.1951,0.1951,0.1951,128.0
2023-11-07,0.1814,0.2088,0.1087,0.1788,37280.0
2023-11-08,0.1788,0.1788,0.1788,0.1788,0.0
2023-11-09,0.1788,0.1788,0.1788,0.1788,0.0
2023-11-10,0.1788,0.1788,0.1788,0.1788,0.0
2023-11-13,0.1788,0.1788,0.1788,0.1788,0.0
2023-11-14,0.18,0.2003,0.18,0.2003,28166.0
2023-11-15,0.2003,0.2003,0.2003,0.2003,0.0
2023-11-16,0.2003,0.2003,0.2003,0.2003,0.0
2023-11-17,0.18,0.2,0.18,0.2,1600.0
2023-11-20,0.18,0.214,0.18,0.214,600.0
2023-11-21,0.2033,0.229,0.19,0.19,23500.0
2023-11-22,0.18,0.1995,0.18,0.1995,497.0
2023-11-24,0.1801,0.21,0.1719,0.18,48874.0
2023-11-27,0.189,0.2098,0.18,0.1801,49800.0
2023-11-28,0.18,0.18,0.18,0.18,51186.0
2023-11-29,0.18,0.18,0.18,0.18,0.0
2023-11-30,0.18,0.18,0.18,0.18,411118.0
2023-12-01,0.18,0.18,0.18,0.18,0.0
2023-12-04,0.18,0.18,0.1782,0.1782,1700.0
2023-12-05,0.1693,0.1693,0.1489,0.16,18620.0
2023-12-06,0.152,0.18,0.15,0.18,658100.0
2023-12-07,0.162,0.189,0.147,0.15,392996.0
2023-12-08,0.15,0.15,0.12,0.12,113303.0
2023-12-11,0.126,0.15,0.12,0.1497,717.0
2023-12-12,0.1497,0.1572,0.12,0.12,5540.0
2023-12-13,0.13,0.1498,0.12,0.12,66289.0
2023-12-14,0.123,0.186,0.123,0.15,1056680.0
2023-12-15,0.1251,0.1575,0.12,0.1575,3750.0
2023-12-18,0.1236,0.15,0.12,0.15,75283.0
2023-12-19,0.15,0.15,0.15,0.15,12.0
2023-12-20,0.15,0.15,0.15,0.15,90.0
2023-12-21,0.1603,0.25,0.156,0.19,4312.0
2023-12-22,0.1561,0.1561,0.1561,0.1561,100.0
2023-12-26,0.1561,0.1561,0.1561,0.1561,0.0
2023-12-27,0.16,0.16,0.1598,0.1598,7400.0
2023-12-28,0.1598,0.1598,0.1598,0.1598,0.0
2023-12-29,0.1601,0.1601,0.1521,0.1521,6000.0
